City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,alofi,-19.0595,-169.9187,23.94,94,75,0.51,NU,1679941979
265,nandurbar,21.3667,74.25,26.05,23,1,4.0,IN,1679941980
266,araguacu,-12.9306,-49.8264,27.59,80,100,1.37,BR,1679941980
267,ust-kulom,61.6864,53.6902,-3.29,96,100,4.05,RU,1679941980
268,shestakovo,56.4915,103.96,0.73,94,80,3.81,RU,1679941980
269,saint george,37.1041,-113.5841,8.57,26,0,2.57,US,1679941981
270,souillac,-20.5167,57.5167,25.21,88,20,1.54,MU,1679941966
271,mount isa,-20.7333,139.5,19.87,88,11,0.0,AU,1679941932
272,dunmore town,25.5,-76.65,24.72,75,5,1.98,BS,1679941982
273,paracuru,-3.41,-39.0306,27.28,84,79,3.12,BR,1679941860
274,yenagoa,4.9247,6.2642,26.74,79,100,1.83,NG,1679941982
275,norman wells,65.282,-126.8329,-8.98,62,100,2.57,CA,1679941982
276,guanica,17.9716,-66.908,30.07,63,3,8.11,PR,1679941983
277,la palma,33.8464,-118.0467,21.62,26,75,8.75,US,1679941983
278,constitucion,-35.3333,-72.4167,17.93,62,8,5.1,CL,1679941970
279,luocheng,29.3848,104.0286,12.44,88,100,0.65,CN,1679941984
280,north bend,43.4065,-124.2243,6.76,81,100,4.63,US,1679941984
281,bilma,18.6853,12.9164,24.7,15,0,0.28,NE,1679941984
282,amga,60.8953,131.9608,-6.78,84,93,3.88,RU,1679941984
283,svetlyy,54.675,20.1347,0.03,55,13,4.65,RU,1679941985
284,suntar,62.1444,117.6319,1.59,87,100,5.61,RU,1679941985
285,mizdah,31.4451,12.9801,21.76,19,1,2.73,LY,1679941985
286,korla,41.7597,86.1469,12.1,24,3,2.16,CN,1679941986
287,chagoda,59.164,35.3285,-2.58,98,66,1.35,RU,1679941987
288,atlantis,-33.5667,18.4834,21.1,58,5,3.19,ZA,1679941988
289,grand-santi,4.25,-54.3833,26.5,87,69,1.66,GF,1679941988
290,port blair,11.6667,92.75,27.02,83,40,1.03,IN,1679941989
291,sol-iletsk,51.1631,54.9918,11.51,48,96,3.49,RU,1679941990
292,salalah,17.0151,54.0924,28.05,78,75,4.63,OM,1679941991
293,bemidji,47.4736,-94.8803,-1.16,57,75,4.63,US,1679941937
294,easton,40.6884,-75.2207,17.35,33,100,3.6,US,1679941825
295,balkhash,46.844,74.9804,2.11,80,0,6.96,KZ,1679941992
296,aripuana,-9.1667,-60.6333,24.9,94,100,1.05,BR,1679941992
297,jacqueville,5.2052,-4.4146,27.38,84,98,5.72,CI,1679941993
298,lillesand,58.2488,8.3778,1.86,69,0,2.06,NO,1679941993
299,saint-georges,12.0564,-61.7485,29.82,62,40,10.29,GD,1679941993
300,hofn,64.2539,-15.2082,-1.02,69,100,8.19,IS,1679941994
301,boende,-0.2167,20.8667,22.32,97,100,1.5,CD,1679941994
302,kloulklubed,7.0419,134.2556,24.28,73,100,2.64,PW,1679941994
303,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.67,74,75,5.0,RU,1679941959
304,anadyr,64.75,177.4833,-17.72,65,0,2.0,RU,1679941995
305,waddan,29.1614,16.139,23.53,15,0,0.91,LY,1679941995
306,ures,29.4333,-110.4,26.02,9,53,1.91,MX,1679941995
307,staryy nadym,65.6118,72.6842,-16.0,98,96,2.39,RU,1679941996
308,arvika,59.6553,12.5852,-2.66,74,100,3.66,SE,1679941996
309,buraydah,26.326,43.975,20.25,39,51,3.65,SA,1679941996
310,polson,47.6936,-114.1632,4.84,58,51,3.58,US,1679941997
311,fujin,47.26,132.0322,0.63,47,74,2.71,CN,1679941997
312,vostok,46.4856,135.8833,-6.62,82,4,2.57,RU,1679941998
313,kavaratti,10.5669,72.642,27.28,72,33,6.01,IN,1679941998
314,vidim,56.4088,103.1106,0.66,96,100,5.34,RU,1679941998
315,norden,53.6,7.2,4.98,69,8,10.79,DE,1679941576
316,bambous virieux,-20.3428,57.7575,25.14,88,20,1.54,MU,1679941999
317,oudtshoorn,-33.5907,22.2014,12.2,42,7,0.88,ZA,1679941999
318,san juan,-31.5375,-68.5364,29.75,39,0,3.93,AR,1679941842
319,topeka,39.0483,-95.678,9.18,48,0,3.6,US,1679941793
320,dunedin,-45.8742,170.5036,6.0,95,100,4.02,NZ,1679941863
321,mehamn,71.0357,27.8492,-5.05,79,40,3.09,NO,1679942000
322,beyneu,45.3167,55.2,15.81,30,100,7.18,KZ,1679942000
323,dumas,35.8656,-101.9732,12.08,30,0,5.14,US,1679941682
324,marawi,7.9986,124.2928,20.03,95,100,0.69,PH,1679942000
325,gusau,12.1628,6.6614,30.95,12,100,3.39,NG,1679942001
326,murighiol,45.0333,29.1667,9.27,70,100,9.65,RO,1679942002
327,atar,20.5169,-13.0499,34.03,14,0,7.72,MR,1679942002
328,kaeo,-35.1,173.7833,14.58,92,49,1.32,NZ,1679942003
329,houston,29.7633,-95.3633,25.57,76,100,4.63,US,1679941625
330,kalianget,-7.05,113.9333,26.33,83,100,0.49,ID,1679942004
331,pedernales,18.0384,-71.744,29.38,49,0,2.36,DO,1679942004
332,kamaishi,39.2667,141.8833,5.61,75,89,2.36,JP,1679942005
333,kavieng,-2.5744,150.7967,27.38,72,22,2.13,PG,1679942005
334,newcastle,-32.9272,151.7765,21.47,92,93,2.57,AU,1679941736
335,yulara,-25.2406,130.9889,21.24,73,92,2.53,AU,1679942006
336,lagoa,39.05,-27.9833,15.01,75,0,12.0,PT,1679942006
337,kasongo,-4.45,26.6667,18.48,98,99,1.11,CD,1679942007
338,kailua,21.4022,-157.7394,25.99,78,20,1.54,US,1679941994
339,dingle,10.9995,122.6711,23.99,90,100,3.2,PH,1679942008
340,sibay,52.7181,58.6658,2.9,78,81,3.92,RU,1679942008
341,ucluelet,48.9329,-125.5528,9.49,71,13,0.45,CA,1679941859
342,zhigansk,66.7697,123.3711,-7.45,96,100,6.74,RU,1679942009
343,carutapera,-1.195,-46.02,27.88,75,85,2.36,BR,1679942009
344,progreso,21.2833,-89.6667,34.5,43,1,3.51,MX,1679942010
345,rengo,-34.4167,-70.8667,27.18,24,0,3.18,CL,1679942011
346,umm kaddadah,13.6017,26.6876,24.32,20,98,6.26,SD,1679942011
347,timra,62.487,17.3257,-3.18,43,0,5.14,SE,1679942011
348,alyangula,-13.8483,136.4192,25.73,77,43,2.65,AU,1679942012
349,asau,46.4333,26.4,8.51,89,100,0.4,RO,1679942012
350,novi sanzhary,49.3439,34.3108,10.58,61,100,3.93,UA,1679942013
351,catalina,32.5056,-110.9211,18.24,21,7,2.24,US,1679942013
352,maridi,4.9158,29.4742,25.82,51,100,0.67,SS,1679942014
353,cooma,-36.2333,149.1333,12.85,85,0,1.9,AU,1679942014
354,sumbe,-11.2061,13.8437,25.4,87,100,0.89,AO,1679942015
355,hargeysa,9.56,44.065,24.49,57,100,3.34,SO,1679942015
356,sirsi,14.6167,74.85,19.43,67,100,1.48,IN,1679942015
357,ottawa,45.4112,-75.6981,8.02,48,75,2.57,CA,1679941974
358,mwene-ditu,-7.0,23.45,17.18,98,100,1.4,CD,1679942016
359,isla mujeres,21.2311,-86.731,30.09,69,17,7.87,MX,1679942016
360,rio grande,-32.035,-52.0986,28.06,53,0,4.26,BR,1679942017
361,kotka,60.4664,26.9458,-1.41,97,100,5.24,FI,1679942017
362,cabo san lucas,22.8909,-109.9124,29.78,35,40,2.06,MX,1679941950
363,lucapa,-8.4192,20.7447,17.97,99,100,1.15,AO,1679942017
364,baie-comeau,49.2168,-68.1489,0.82,80,0,2.57,CA,1679942017
365,karacabey,40.2152,28.4038,18.21,51,0,4.03,TR,1679942018
